-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
     1200.0000     602.3413      236.4371      -1043.2809    1066.4317     422.5294      -716.8610     
     1400.0000     633.2845      360.1063      -1266.2583    1161.6890     546.1985      -939.8384     
     1600.0000     660.2443      489.4875      -1507.3626    1248.0313     675.5798      -1180.9427    
     1800.0000     687.4173      624.2204      -1765.0028    1327.3462     810.3127      -1438.5829    
     2000.0000     718.0110      764.6847      -2037.9451    1401.3149     950.7770      -1711.5252    
     2200.0000     754.2438      911.8030      -2325.2701    1471.3969     1097.8952     -1998.8502    
     2400.0000     797.3452      1066.8424     -2626.3272    1538.8206     1252.9346     -2299.9073    
     2600.0000     847.5552      1231.2171     -2940.6879    1604.5789     1417.3094     -2614.2680    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC60H121_T
 ====================================================================================================
   Elemental Composition:
     C 60.0000
     H 121.0000
   Formation Enthalpy at 298K =          -261.1761 kcal/mol
   Formation Free Gibbs Energy at 298K = -444.5549 kcal/mol
   Molecular Weight =                    842.6280 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      335.2990      -260.5075     -445.7879     617.6014      0.6686        -1.2330       
     600.0000      571.6661      -121.6458     -679.0320     928.9770      139.5303      -234.4770     
     800.0000      675.5291      3.6600        -883.1414     1108.5017     264.8361      -438.5864     
     1000.0000     749.4432      146.5725      -1121.0727    1267.6452     407.7486      -676.5177     
     1200.0000     802.9405      302.0794      -1389.0307    1409.2584     563.2554      -944.4758     
     1400.0000     844.1034      466.9296      -1683.8007    1536.2360     728.1057      -1239.2458    
     1600.0000     879.5645      639.3438      -2002.7313    1651.2969     900.5199      -1558.1764    
     1800.0000     914.5071      818.7241      -2343.6894    1756.8964     1079.9002     -1899.1345    
     2000.0000     952.6646      1005.3642     -2705.0031    1855.1836     1266.5403     -2260.4482    
     2200.0000     996.3210      1200.1597     -3085.3976    1947.9806     1461.3358     -2640.8427    
     2400.0000     1046.3106     1404.3180     -3483.9289    2036.7696     1665.4941     -3039.3740    
     2600.0000     1102.0180     1619.0684     -3899.9147    2122.6858     1880.2445     -3455.3598    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC16H31
 ====================================================================================================
   Elemental Composition:
     C 16.0000
     H 31.0000
   Formation Enthalpy at 298K =          -24.0664 kcal/mol
   Formation Free Gibbs Energy at 298K = -86.7833 kcal/mol
   Molecular Weight =                    223.4240 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      97.3786       -23.8722      -87.2048      211.1088      0.1942        -0.4216       
     600.0000      165.0774      16.2638       -164.4156     301.1325      40.3302       -77.6324      
     800.0000      195.3241      52.4701       -229.9325     353.0032      76.5365       -143.1492     
     1000.0000     216.9820      93.8213       -305.2284     399.0497      117.8877      -218.4451     
     1200.0000     232.6812      138.8660      -389.2172     440.0694      162.9324      -302.4340     
     1400.0000     244.8607      186.6596      -480.9758     476.8824      210.7260      -394.1925     
     1600.0000     255.7678      236.7259      -579.7435     510.2934      260.7923      -492.9602     
     1800.0000     267.4584      289.0194      -684.9180     541.0763      313.0858      -598.1347     
     2000.0000     281.7973      343.8863      -796.0479     569.9671      367.9527      -709.2647     
     2200.0000     300.4574      402.0268      -912.8251     597.6599      426.0932      -826.0418     
     2400.0000     324.9207      464.4565      -1035.0755    624.8050      488.5229      -948.2922     
     2600.0000     356.4774      532.4684      -1162.7510    652.0074      556.5348      -1075.9677    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC30H59
 ====================================================================================================
   Elemental Composition:
     C 30.0000
     H 59.0000
   Formation Enthalpy at 298K =          -94.1447 kcal/mol
   Formation Free Gibbs Energy at 298K = -197.0427 kcal/mol
   Molecular Weight =                    419.8020 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      175.5375      -93.7946      -197.7344     346.4660      0.3501        -0.6918       
     600.0000      298.4104      -21.2690      -326.7390     509.1167      72.8757       -129.6964     
     800.0000      352.8298      44.1575       -438.1237     602.8515      138.3022      -241.0810     
     1000.0000     391.7153      118.8287      -567.1735     686.0022      212.9734      -370.1308     
     1200.0000     419.9072      200.1321      -711.9171     760.0410      294.2768      -514.8744     
     1400.0000     441.6250      286.3614      -870.6821     826.4596      380.5060      -673.6394     
     1600.0000     460.4666      376.5918      -1042.0876    886.6746      470.7364      -845.0450     
     1800.0000     479.4089      470.5561      -1225.0255    941.9898      564.7008      -1027.9829    
     2000.0000     500.8073      568.5204      -1418.6354    993.5779      662.6651      -1221.5927    
     2200.0000     526.3961      671.1598      -1622.2774    1042.4714     765.3044      -1425.2347    
     2400.0000     557.2884      779.4338      -1835.5038    1089.5573     873.5785      -1638.4611    
     2600.0000     593.9759      894.4628      -2058.0294    1135.5739     988.6075      -1860.9867    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC45H89
 ====================================================================================================
   Elemental Composition:
     C 45.0000
     H 89.0000
   Formation Enthalpy at 298K =          -169.2285 kcal/mol
   Formation Free Gibbs Energy at 298K = -315.1777 kcal/mol
   Molecular Weight =                    630.2070 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      259.2791      -168.7115     -316.1590     491.4917      0.5170        -0.9813       
     600.0000      441.2673      -61.4828      -500.6569     731.9569      107.7457      -185.4792     
     800.0000      521.5860      35.2513       -661.1856     870.5461      204.4798      -346.0079     
     1000.0000     578.9295      145.6224      -847.8289     993.4513      314.8509      -532.6512     
     1200.0000     620.5065      265.7744      -1057.6669    1102.8678     435.0029      -742.4892     
     1400.0000     652.4439      393.1847      -1288.2245    1201.0066     562.4132      -973.0468     
     1600.0000     679.7868      526.4480      -1537.4564    1289.9402     695.6765      -1222.2787    
     1800.0000     706.4986      665.0598      -1803.7122    1371.5400     834.2883      -1488.5345    
     2000.0000     735.4608      809.1999      -2085.6934    1447.4466     978.4284      -1770.5157    
     2200.0000     768.4733      959.5165      -2382.4049    1519.0552     1128.7450     -2067.2272    
     2400.0000     806.2538      1116.9095     -2693.1055    1587.5062     1286.1380     -2377.9278    
     2600.0000     848.4387      1282.3141     -3017.2562    1653.6809     1451.5426     -2702.0785    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC60H119
 ====================================================================================================
   Elemental Composition:
     C 60.0000
     H 119.0000
   Formation Enthalpy at 298K =          -244.3123 kcal/mol
   Formation Free Gibbs Energy at 298K = -433.3128 kcal/mol
   Molecular Weight =                    840.6120 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      343.0208      -243.6283     -434.5835     636.5173      0.6840        -1.2707       
     600.0000      584.1241      -101.6965     -674.5748     954.7971      142.6158      -241.2620     
     800.0000      690.3422      26.3450       -884.2476     1138.2408     270.6573      -450.9348     
     1000.0000     766.1438      172.4160      -1128.4844    1300.9004     416.7284      -695.1716     
     1200.0000     821.1058      331.4166      -1403.4168    1445.6945     575.7290      -970.1040     
     1400.0000     863.2627      500.0081      -1705.7670    1575.5536     744.3204      -1272.4542    
     1600.0000     899.1069      676.3043      -2032.8251    1693.2059     920.6166      -1599.5123    
     1800.0000     933.5883      859.5634      -2382.3989    1801.0902     1103.8758     -1949.0861    
     2000.0000     970.1144      1049.8794     -2752.7513    1901.3154     1294.1917     -2319.4386    
     2200.0000     1010.5504     1247.8733     -3142.5324    1995.6389     1492.1856     -2709.2196    
     2400.0000     1055.2192     1454.3851     -3550.7072    2085.4552     1698.6975     -3117.3945    
     2600.0000     1102.9015     1670.1653     -3976.4830    2171.7878     1914.4776     -3543.1703    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC16H31_T
 ====================================================================================================
   Elemental Composition:
     C 16.0000
     H 31.0000
   Formation Enthalpy at 298K =          -20.9549 kcal/mol
   Formation Free Gibbs Energy at 298K = -83.4775 kcal/mol
   Molecular Weight =                    223.4240 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      97.8496       -20.7598      -83.8978      210.4600      0.1951        -0.4203       
     600.0000      166.2374      19.6524       -161.0038     301.0937      40.6073       -77.5263      
     800.0000      196.3955      56.0868       -226.5478     353.2932      77.0417       -143.0703     
     1000.0000     217.7610      97.6249       -301.9245     399.5494      118.5798      -218.4470     
     1200.0000     233.1531      142.7934      -386.0260     440.6828      163.7484      -302.5484     
     1400.0000     245.1888      190.6628      -477.9135     477.5546      211.6177      -394.4360     
     1600.0000     256.2830      240.8066      -576.8206     511.0170      261.7616      -493.3430     
     1800.0000     268.6484      293.2612      -682.1481     541.8941      314.2162      -598.6706     
     2000.0000     284.2954      348.4852      -793.4583     570.9718      369.4402      -709.9808     
     2200.0000     305.0324      407.3192      -910.4665     598.9935      428.2741      -826.9890     
     2400.0000     332.4655      470.9451      -1033.0319    626.6571      491.9000      -949.5544     
     2600.0000     367.9985      540.8458      -1161.1489    654.6134      561.8008      -1077.6714    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC30H59_T
 ====================================================================================================
   Elemental Composition:
     C 30.0000
     H 59.0000
   Formation Enthalpy at 298K =          -91.0332 kcal/mol
   Formation Free Gibbs Energy at 298K = -193.7369 kcal/mol
   Molecular Weight =                    419.8020 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      176.0085      -90.6822      -194.4274     345.8172      0.3510        -0.6905       
     600.0000      299.5705      -17.8804      -323.3271     509.0779      73.1528       -129.5903     
     800.0000      353.9013      47.7743       -434.7389     603.1415      138.8075      -241.0020     
     1000.0000     392.4943      122.6323      -563.8696     686.5019      213.6655      -370.1327     
     1200.0000     420.3791      204.0595      -708.7258     760.6545      295.0927      -514.9889     
     1400.0000     441.9531      290.3646      -867.6198     827.1318      381.3978      -673.8830     
     1600.0000     460.9819      380.6725      -1039.1647    887.3983      471.7057      -845.4278     
     1800.0000     480.5988      474.7980      -1222.2556    942.8076      565.8312      -1028.5187    
     2000.0000     503.3054      573.1194      -1416.0458    994.5826      664.1526      -1222.3089    
     2200.0000     530.9711      676.4522      -1619.9188    1043.8050     767.4853      -1426.1819    
     2400.0000     564.8332      785.9224      -1833.4602    1091.4094     876.9555      -1639.7233    
     2600.0000     605.4971      902.8403      -2056.4273    1138.1799     993.8735      -1862.6904    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC45H89_T
 ====================================================================================================
   Elemental Composition:
     C 45.0000
     H 89.0000
   Formation Enthalpy at 298K =          -166.1170 kcal/mol
   Formation Free Gibbs Energy at 298K = -311.8719 kcal/mol
   Molecular Weight =                    630.2070 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      259.7501      -165.5990     -312.8519     490.8428      0.5180        -0.9800       
     600.0000      442.4273      -58.0942      -497.2450     731.9181      108.0228      -185.3731     
     800.0000      522.6575      38.8680       -657.8009     870.8362      204.9850      -345.9290     
     1000.0000     579.7086      149.4260      -844.5250     993.9510      315.5430      -532.6531     
     1200.0000     620.9783      269.7018      -1054.4756    1103.4812     435.8188      -742.6037     
     1400.0000     652.7720      397.1880      -1285.1623    1201.6788     563.3050      -973.2904     
     1600.0000     680.3020      530.5288      -1534.5334    1290.6639     696.6458      -1222.6615    
     1800.0000     707.6886      669.3016      -1800.9423    1372.3577     835.4187      -1489.0704    
     2000.0000     737.9590      813.7989      -2083.1037    1448.4513     979.9159      -1771.2318    
     2200.0000     773.0482      964.8089      -2380.0463    1520.3887     1130.9259     -2068.1744    
     2400.0000     813.7986      1123.3980     -2691.0619    1589.3583     1289.5150     -2379.1900    
     2600.0000     859.9599      1290.6915     -3015.6542    1656.2868     1456.8086     -2703.7822    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC60H119_T
 ====================================================================================================
   Elemental Composition:
     C 60.0000
     H 119.0000
   Formation Enthalpy at 298K =          -241.2009 kcal/mol
   Formation Free Gibbs Energy at 298K = -430.0070 kcal/mol
   Molecular Weight =                    840.6120 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      343.4918      -240.5159     -431.2764     635.8684      0.6850        -1.2694       
     600.0000      585.2842      -98.3079      -671.1629     954.7583      142.8929      -241.1559     
     800.0000      691.4136      29.9618       -880.8629     1138.5308     271.1626      -450.8559     
     1000.0000     766.9228      176.2196      -1125.1805    1301.4001     417.4205      -695.1735     
     1200.0000     821.5776      335.3440      -1400.2255    1446.3079     576.5449      -970.2185     
     1400.0000     863.5908      504.0113      -1702.7048    1576.2258     745.2122      -1272.6978    
     1600.0000     899.6222      680.3850      -2029.9022    1693.9295     921.5859      -1599.8952    
     1800.0000     934.7783      863.8053      -2379.6290    1801.9079     1105.0062     -1949.6220    
     2000.0000     972.6126      1054.4783     -2750.1617    1902.3200     1295.6792     -2320.1547    
     2200.0000     1015.1254     1253.1657     -3140.1738    1996.9725     1494.3666     -2710.1668    
     2400.0000     1062.7640     1460.8737     -3548.6637    2087.3072     1702.0745     -3118.6567    
     2600.0000     1114.4226     1678.5428     -3974.8810    2174.3937     1919.7436     -3544.8740    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC16H31_A
 ====================================================================================================
   Elemental Composition:
     C 16.0000
     H 31.0000
   Formation Enthalpy at 298K =          -36.6408 kcal/mol
   Formation Free Gibbs Energy at 298K = -97.2720 kcal/mol
   Molecular Weight =                    223.4240 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      96.8309       -36.4477      -97.6796      204.1065      0.1931        -0.4076       
     600.0000      166.2945      3.8162        -172.7962     294.3540      40.4569       -75.5242      
     800.0000      197.0424      40.3253       -237.0003     346.6569      76.9660       -139.7282     
     1000.0000     218.7031      82.0273       -311.0675     393.0948      118.6681      -213.7954     
     1200.0000     234.1457      127.3920      -393.8963     434.4069      164.0328      -296.6242     
     1400.0000     246.2291      175.4617      -484.5444     471.4330      212.1025      -387.2724     
     1600.0000     257.8013      225.8496      -582.2427     505.0577      262.4903      -484.9706     
     1800.0000     271.6996      278.7373      -686.4012     536.1881      315.3781      -589.1291     
     2000.0000     290.7507      334.8730      -796.6128     565.7429      371.5137      -699.3408     
     2200.0000     317.7708      395.5689      -912.6550     594.6472      432.2096      -815.3829     
     2400.0000     355.5653      462.6996      -1034.4902    623.8291      499.3404      -937.2182     
     2600.0000     406.9288      538.6996      -1162.2671    654.2180      575.3404      -1064.9950    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC30H59_A
 ====================================================================================================
   Elemental Composition:
     C 30.0000
     H 59.0000
   Formation Enthalpy at 298K =          -106.7190 kcal/mol
   Formation Free Gibbs Energy at 298K = -207.5314 kcal/mol
   Molecular Weight =                    419.8020 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      174.9898      -106.3701     -208.2092     339.4637      0.3489        -0.6778       
     600.0000      299.6275      -33.7167      -335.1196     502.3382      73.0023       -127.5882     
     800.0000      354.5482      32.0128       -445.1914     596.5053      138.7318      -237.6600     
     1000.0000     393.4364      107.0348      -573.0126     680.0473      213.7538      -365.4811     
     1200.0000     421.3717      188.6581      -716.5961     754.3785      295.3771      -509.0647     
     1400.0000     442.9934      275.1635      -874.2507     821.0102      381.8825      -666.7193     
     1600.0000     462.5001      365.7154      -1044.5868    881.4389      472.4344      -837.0554     
     1800.0000     483.6500      460.2741      -1226.5087    937.1016      566.9931      -1018.9773    
     2000.0000     509.7607      559.5071      -1419.2003    989.3537      666.2261      -1211.6688    
     2200.0000     543.7095      664.7019      -1622.1073    1039.4587     771.4209      -1414.5759    
     2400.0000     587.9330      777.6769      -1834.9185    1088.5814     884.3959      -1627.3871    
     2600.0000     644.4274      900.6941      -2057.5454    1137.7844     1007.4131     -1850.0140    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC45H89_A
 ====================================================================================================
   Elemental Composition:
     C 45.0000
     H 89.0000
   Formation Enthalpy at 298K =          -181.8028 kcal/mol
   Formation Free Gibbs Energy at 298K = -325.6665 kcal/mol
   Molecular Weight =                    630.2070 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      258.7315      -181.2869     -326.6337     484.4894      0.5159        -0.9673       
     600.0000      442.4843      -73.9304      -509.0375     725.1784      107.8724      -183.3710     
     800.0000      523.3044      23.1065       -668.2534     864.1999      204.9094      -342.5869     
     1000.0000     580.6506      133.8284      -853.6680     987.4964      315.6313      -528.0015     
     1200.0000     621.9710      254.3004      -1062.3460    1097.2053     436.1032      -736.6795     
     1400.0000     653.8123      381.9869      -1291.7932    1195.5572     563.7897      -966.1267     
     1600.0000     681.8203      515.5717      -1539.9555    1284.7045     697.3746      -1214.2891    
     1800.0000     710.7397      654.7777      -1805.1954    1366.6517     836.5806      -1479.5289    
     2000.0000     744.4143      800.1866      -2086.2582    1443.2224     981.9894      -1760.5918    
     2200.0000     785.7866      953.0586      -2382.2348    1516.0425     1134.8615     -2056.5683    
     2400.0000     836.8984      1115.1525     -2692.5202    1586.5303     1296.9554     -2366.8537    
     2600.0000     898.8902      1288.5453     -3016.7723    1655.8914     1470.3482     -2691.1058    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC60H119_A
 ====================================================================================================
   Elemental Composition:
     C 60.0000
     H 119.0000
   Formation Enthalpy at 298K =          -256.8867 kcal/mol
   Formation Free Gibbs Energy at 298K = -443.8015 kcal/mol
   Molecular Weight =                    840.6120 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      342.4731      -256.2038     -445.0583     629.5150      0.6829        -1.2567       
     600.0000      585.3412      -114.1442     -682.9554     948.0187      142.7425      -239.1538     
     800.0000      692.0605      14.2002       -891.3153     1131.8945     271.0869      -447.5138     
     1000.0000     767.8649      160.6221      -1134.3234    1294.9455     417.5088      -690.5219     
     1200.0000     822.5702      319.9426      -1408.0958    1440.0320     576.8293      -964.2943     
     1400.0000     864.6311      488.8102      -1709.3356    1570.1042     745.6969      -1265.5341    
     1600.0000     901.1404      665.4280      -2035.3243    1687.9702     922.3147      -1591.5228    
     1800.0000     937.8294      849.2814      -2383.8821    1796.2019     1106.1681     -1940.0805    
     2000.0000     979.0678      1040.8661     -2753.3162    1897.0911     1297.7528     -2309.5147    
     2200.0000     1027.8638     1241.4154     -3142.3623    1992.6262     1498.3021     -2698.5607    
     2400.0000     1085.8638     1452.6282     -3550.1220    2084.4792     1709.5149     -3106.3204    
     2600.0000     1153.3529     1676.3965     -3975.9991    2173.9983     1933.2832     -3532.1976    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC16H29
 ====================================================================================================
   Elemental Composition:
     C 16.0000
     H 29.0000
   Formation Enthalpy at 298K =          -4.0912 kcal/mol
   Formation Free Gibbs Energy at 298K = -71.4145 kcal/mol
   Molecular Weight =                    221.4080 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      105.5713      -3.8806       -71.8670      226.6212      0.2105        -0.4525       
     600.0000      178.6954      39.6017       -154.8939     324.1592      43.6928       -83.4794      
     800.0000      211.2086      78.7718       -225.4504     380.2777      82.8630       -154.0359     
     1000.0000     234.4616      123.4684      -306.5816     430.0501      127.5596      -235.1672     
     1200.0000     251.3183      172.1307      -397.1065     474.3643      176.2219      -325.6920     
     1400.0000     264.3482      223.7413      -496.0234     514.1176      227.8325      -424.6089     
     1600.0000     275.8255      277.7671      -602.5070     550.1714      281.8583      -531.0926     
     1800.0000     287.7296      334.1006      -715.8993     583.3333      338.1918      -644.4848     
     2000.0000     301.7452      393.0004      -835.6974     614.3489      397.0916      -764.2829     
     2200.0000     319.2618      455.0327      -961.5412     643.8972      459.1239      -890.1267     
     2400.0000     341.3741      521.0122      -1093.1993    672.5881      525.1033      -1021.7848    
     2600.0000     368.8820      591.9427      -1230.5554    700.9608      596.0339      -1159.1409    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC30H57
 ====================================================================================================
   Elemental Composition:
     C 30.0000
     H 57.0000
   Formation Enthalpy at 298K =          -74.1694 kcal/mol
   Formation Free Gibbs Energy at 298K = -181.6739 kcal/mol
   Molecular Weight =                    417.7860 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      183.7302      -73.8030      -182.3966     361.9785      0.3664        -0.7227       
     600.0000      312.0285      2.0688        -317.2172     532.1434      76.2383       -135.5434     
     800.0000      368.7144      70.4593       -433.6415     630.1260      144.6288      -251.9677     
     1000.0000     409.1949      148.4758      -568.5267     717.0026      222.6453      -386.8529     
     1200.0000     438.5443      233.3968      -719.8064     794.3360      307.5662      -538.1325     
     1400.0000     461.1125      323.4431      -885.7297     863.6948      397.6125      -704.0558     
     1600.0000     480.5243      417.6330      -1064.8512    926.5526      491.8024      -883.1773     
     1800.0000     499.6801      515.6373      -1256.0068    984.2468      589.8068      -1074.3330    
     2000.0000     520.7552      617.6346      -1458.2849    1037.9597     691.8040      -1276.6110    
     2200.0000     545.2005      724.1657      -1670.9935    1088.7087     798.3351      -1489.3197    
     2400.0000     573.7419      835.9895      -1893.6276    1137.3404     910.1589      -1711.9537    
     2600.0000     606.3806      953.9372      -2125.8338    1184.5273     1028.1067     -1944.1599    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC45H87
 ====================================================================================================
   Elemental Composition:
     C 45.0000
     H 87.0000
   Formation Enthalpy at 298K =          -149.2533 kcal/mol
   Formation Free Gibbs Energy at 298K = -299.8089 kcal/mol
   Molecular Weight =                    628.1910 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      267.4719      -148.7199     -300.8211     507.0041      0.5334        -1.0122       
     600.0000      454.8853      -38.1449      -491.1351     754.9837      111.1083      -191.3262     
     800.0000      537.4706      61.5531       -656.7035     897.8207      210.8063      -356.8946     
     1000.0000     596.4091      175.2695      -849.1822     1024.4516     324.5228      -549.3733     
     1200.0000     639.1436      299.0391      -1065.5562    1137.1627     448.2923      -765.7473     
     1400.0000     671.9313      430.2664      -1303.2722    1238.2419     579.5197      -1003.4633    
     1600.0000     699.8445      567.4893      -1560.2199    1329.8182     716.7425      -1260.4110    
     1800.0000     726.7698      710.1410      -1834.6935    1413.7970     859.3943      -1534.8846    
     2000.0000     755.4088      858.3140      -2125.3428    1491.8284     1007.5673     -1825.5339    
     2200.0000     787.2776      1012.5225     -2431.1210    1565.2925     1161.7758     -2131.3121    
     2400.0000     822.7073      1173.4651     -2751.2293    1635.2893     1322.7184     -2451.4204    
     2600.0000     860.8433      1341.7884     -3085.0606    1702.6342     1491.0417     -2785.2517    
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC60H117
 ====================================================================================================
   Elemental Composition:
     C 60.0000
     H 117.0000
   Formation Enthalpy at 298K =          -224.3371 kcal/mol
   Formation Free Gibbs Energy at 298K = -417.9440 kcal/mol
   Molecular Weight =                    838.5960 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      351.2136      -223.6368     -419.2457     652.0297      0.7004        -1.3017       
     600.0000      597.7421      -78.3587      -665.0530     977.8239      145.9784      -247.1091     
     800.0000      706.2268      52.6468       -879.7654     1165.5153     276.9839      -461.8215     
     1000.0000     783.6234      202.0631      -1129.8376    1331.9007     426.4003      -711.8937     
     1200.0000     839.7428      364.6813      -1411.3060    1479.9895     589.0184      -993.3621     
     1400.0000     882.7502      537.0898      -1720.8146    1612.7889     761.4269      -1302.8707    
     1600.0000     919.1646      717.3455      -2055.5887    1733.0839     941.6826      -1637.6447    
     1800.0000     953.8595      904.6447      -2413.3802    1843.3471     1128.9818     -1995.4362    
     2000.0000     990.0623      1098.9935     -2792.4008    1945.6972     1323.3306     -2374.4569    
